product_id,brand,title,price,category,rating,image_url,product_url
B0BXXV45RL,Branduce,"2.4""(6cm) Solid Pure Color Skinny Tie Plain Slim Necktie for Men",15.9,New season,4.6,https://m.media-amazon.com/images/I/81gKiIaUAaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BXXV45RL
B0D9M6K8DN,TOMMY HILFIGER,Men COMFORT WARM TEXTILE,51.73,Shoes,,https://m.media-amazon.com/images/I/512S9wzst9L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D9M6K8DN
B0F7LVX7X6,Hannea,"HANNEA® Cuban Chain Bracelet for Men Stainless Steel Silver Fashion Bracelet, Hip-Hop Punk Style Jewelry for Streetwear and Casual Outfits, Jewelry Gift for Men",25.99,Accessories,,https://m.media-amazon.com/images/I/51pDW3Y1WGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0F7LVX7X6
B08GS7DWS1,Tommy Hilfiger,"THEO Men Watch, Analog",209.6,New season,4.4,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08GS7DWS
B07V27ZRFS,Burwood,Men BWD 284 Leather Slippers,20.65,Made for Amazon,3.7,https://m.media-amazon.com/images/I/71HqMS+-EUL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07V27ZRFS
B08D3DG1ZP,Feraco,"Feraco Copper Bracelet for Men - 99.99% Pure Copper Gift With Adjustable Sizing Tool, Magnetic Field Therapy Jewelry",97.62,Accessories,4.3,https://m.media-amazon.com/images/I/61jeMs56yaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08D3DG1ZP
B08ZT1533T,Fusefit,Men's EASY GO 6.1 Walking Shoe,21.71,Made for Amazon,4.0,https://m.media-amazon.com/images/I/81f9Nnf1c6L._AC_UL320_.jpg,https://www.amazon.ae/dp/B08ZT1533T
B0BNH6XB68,MEROKEETY,Women's 2023 Summer Puff Sleeve Smocked Floral Dress Crewneck Lace Flowy Tiered Midi Dresses,139.96,Outlet,4.2,https://m.media-amazon.com/images/I/71+jDaMeCaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BNH6XB68
B07PRVPCZB,JACK & JONES,Men's Leather Belts,28.34,Most-Loved Fashion,4.4,https://m.media-amazon.com/images/I/61ybDqNccqL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07PRVPCZB
B08D76SJSB,Gear,Magnum 38L Large Water Resistant Travel Duffle Bag/Gym Bag/Sports Duffle for Men/Women - Black Red,63.0,Most-Loved Fashion,4.2,https://m.media-amazon.com/images/I/81s+wNf147L._AC_UL320_.jpg,https://www.amazon.ae/dp/B08D76SJSB
B07YV7P4PJ,YELLOW CHIMES,Chain for Men and Boys Neck Chain for Men | Stainless Steel Chains for Men | Accessories Jewellery for Men,46.89,Accessories,4.0,https://m.media-amazon.com/images/I/516jhBr9nOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07YV7P4PJ
B0C4NQFKCY,RANKEEF,Tiger Eye Bracelet For Men 8MM Natural Stone Beads Bracelet Set Stretch Lava Rock Bracelets Adjustable Black Crystal Beaded Bracelet for Men Women Gifts,22.0,Accessories,4.4,https://m.media-amazon.com/images/I/61LPgGrJgsL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C4NQFKCY
B07VY4YFC5,Nivia,Badminton Shoes mens Badminton,119.99,Outlet,4.1,https://m.media-amazon.com/images/I/71r38g4WLzL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07VY4YFC
B0DNMJS9GY,Flongo,Flonge Viking Wolf Paw Ring: Vintage Stainless Steel Celtic Rings Punk Signet Ring Nordic Amulet Jewelrys for Men Size 7-13,75.98,Accessories,4.8,https://m.media-amazon.com/images/I/710-k2Mul6L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DNMJS9GY
B0BHJGKWGT,Tommy Hilfiger,INFINITY BRAID MENS ROPE BRACELET - 2790459,130.0,Accessories,3.1,https://m.media-amazon.com/images/I/51yv3rMWrlL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BHJGKWGT
B0BWDZPTN7,Cestbella,"Clothes Cover 20 Packs Hanging Garment Bags, Dustproof Dress Bag with Zipper Clear Full Suit Storage Cover Plastic Clothes Organizer Protector Cloth Rail Stand for Dress Gowns Abaya Sweater 80-140CM",89.38,Luggage,4.4,https://m.media-amazon.com/images/I/61iCNLGasSL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BWDZPTN7
B0BPH95FPH,MISS OLIVE,Women's V Neckline Short Sleeve Rayon Floral Fit & Flare Midi Dress (MOSS22D16),44.0,Made for Amazon,3.6,https://m.media-amazon.com/images/I/81izKt0O2eL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BPH95FPH
B07TWMPJ37,Casio,CASIO Herren Analog  Digital Quarz Uhr mit Resin Armband,380.0,Watches,4.4,https://m.media-amazon.com/images/I/71ufzG7a85L._AC_UL320_.jpg,https://www.amazon.ae/dp/B07TWMPJ37
B0D48WY679,PUMA,Mens PUMA ACADEMY Backpack,109.0,New season,4.7,https://m.media-amazon.com/images/I/61rUb60AmGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D48WY679
B0CB1TQLQT,Skechers,SUMMITS womens SHOES,163.4,New season,4.6,https://m.media-amazon.com/images/I/71QQVIdJxyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CB1TQLQT
B000KKO84O,Seiko,"Men's Stainless Steel Band Watch, SNXS75K1",489.74,Watches,4.3,https://m.media-amazon.com/images/I/71j0i8d3y0L._AC_UL320_.jpg,https://www.amazon.ae/dp/B000KKO84O
B07FKFHTF7,Nike,unisex-adult Everyday Cushion Ankle 3 Pack SOCKS (pack of 1),53.0,Most-Loved Fashion,4.5,https://m.media-amazon.com/images/I/61Be5LVi4nL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07FKFHTF7
B08Q9MLZZM,Nike,Victori One Slide unisex-adult SLIDES,105.0,Shoes,4.5,https://m.media-amazon.com/images/I/51GlA+YDdPL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08Q9MLZZM
B07RPXS9WT,Katloo,Large Hobo Bag for Women Shoulder Handbag Leather Crossbody Purse Ladies Satchel Tote Bag with Top Handle Long Strap,100.0,Handbags,4.0,https://m.media-amazon.com/images/I/71mGfF-zn2L._AC_UL320_.jpg,https://www.amazon.ae/dp/B07RPXS9WT
B09SCSN81B,LIENJAER,"Tie Clips for Men, Black Gold Blue Gray Silver Tie Bar Set for Regular Ties, Luxury Box Gift Ideas (Elegant Style)",18.0,Accessories,4.1,https://m.media-amazon.com/images/I/617lJzkMdaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09SCSN81B
